author_there_now_1_0,place_string,kwic_sentence,entry_text,annotation_notes,annotation_id,diary_id,entry_date,place_id
1,<a>Latvijā</a>,Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>.,"Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,1,1416816,16.03.2020,1118022
1,<a>Anglijas</a>,Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>.,"Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,2,1416816,16.03.2020,1120546
1,<a>Latvijā</a>,Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>.,"Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,3,1416816,16.03.2020,1118022
1,<a>Latvijā</a>,Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>.,"Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,4,1416816,16.03.2020,1118022
1,<a>Liepāju</a>,"Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī.","Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,5,1416816,16.03.2020,1066702
1,<a>Liepāju</a>,"Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī.","Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,6,1416816,16.03.2020,1066702
1,<a>Liepājā</a>,Ierodos <a>Liepājā</a> ap 2.,"Esmu veiksmīgi atgriezusies <a>Latvijā</a> no <a>Anglijas</a>. Vēlējos padalīties ar šo piedzīvojumu. Protams, vēl ir vesels filmu cienīgs stāsts par to kā es atradu biļetes, un kam bija jaiziet cauri lai tiku mājās 48 stundu laikā; un šadi stāsti ir lielai daļai no maniem draugiem, kas atgriezušies <a>Latvijā</a> no ārzemēm. Šī manā izpratnē ir neordināra situācija, kurā mēs visi esam nonākuši, un būs neērtas situācijas un neērti lēmumi, kas būs japieņem, taču tikai mēs visi kopā varam cīnīties pret šī vīrusu tālāku izplatību... Misija: 14 dienas pašizolācijā Ierodos <a>Latvijā</a> ap 11 vakarā, dodos cauri pasu kontrolei, un turpinu ceļu uz stāvlaukumu, kur man ir misija, atrast mammas mašīnu kamēr vecāki caur Facetime dod norādes. Priekšā garš ceļš uz <a>Liepāju</a>, nekad ar mašīnu neesmu braukusi tik garā ceļā, turklāt vēl naktī. Vecāki ierosina paķert kafiju benzīntankā, bet tas nozīmē, ka jānonāk saskarsmē ar cilvēkiem. Tad nu vecāki dod nākamās norādes: apstājies pirmajā benzīntankā. Tur, redzu vecāku mašīnu, izkāpju ārā, vecāki 10 metru attālumā; pamājam viens otram, paķeru kafiju un maizītes ceļam no tuvējā galdiņa, un iekāpju atpakaļ mašīnā. Turpinu 2.5 studnu garo ceļu uz <a>Liepāju</a>. Ierodos <a>Liepājā</a> ap 2.30am, izkrāmēju somas un ēdienu, ko vecāki atstājuši mašīnā un nesu uz dzīvokli. Vecāki man ir sarūpējuši visu nepieciešamo, ēdienu (jā, pat griķus), dzērienus (protams, neizpalikt arī bez vinčika), dažādus vitamīnus, tualetes papīru; omīte kā jau omīte izcepusi maizīti, ķirbju rausi un salikusi maisiņā dažādus gardumus. Pateicoties draugu un vecāku atbalstam, ESMU GATAVA 14 DIENAS PAVADĪT PAŠIZOLĀCIJĀ, un silti iesaku arī saviem draugiem un paziņām, kas atgriezušies no ārvalstīm darīt to pašu. No pozitīvās puses, beidzot būs laiks izdarīt visus tos darbiņus, kas atlikti un kuriem nekad ""nepietiek laika"". Sargāsim viens otru!",,7,1416816,16.03.2020,1066702
1,<a>Somijā</a>,"Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules.","Lūk, mans stāsts par Covid-19. Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules. 5 dienas vēlāk sajutos slikti, bija mazliet paaugstināta temperatūra. <a>Somija</a> nav “riska” valsts, tāpēc “oficiāla” iemesla doties ārstiem rokās nav, tomēr “drošības dēļ” nolēmu pārbaudīties. Tas nozīmē, esmu gatava maksāt eur 80 Gulbja laboratorijai. Piezvanu G. laboratorijai, bet, pārsteigums - gribētāju pārbaudīties rinda esot tik gara, ka pārbaudi varot nodrošināt PĒC NEDĒĻAS!! Neziņa un zvans 113, izstāstu visu stāstu. Man saka, <a>Somija</a> neesot instrukcijās minēta, lai ejot uz Gulbja laboratoriju. Stāstu, tur pēc nedēļas varot. Otrā klausules galā seko mulsums, tad īsa konsultācija ar ārstu, pēc kā seko atziņa, ka simptomi neesot gluži tipiski un ieteikums konsultēties ar ģimenes ārstu. Ok. Gaidu, kad ģimenes ārsts atbrīvosies un būs gatavs uzklausīt. Kāpēc es to rakstu? Manuprāt, šī nepavisam NAV situācija, kad valsts dara visu iespējamo, lai mazināt slimības izplatīšanās riskus. Mums ir viena, privāta laboratorija, kas jau tagad netiek galā ar situāciju. Un 113, kur ņem tikai instrukcijās minētos. Ko pārējie? Pēc cilvēku pašu iniciatīvas veiktajās analīzēs tomēr atklāti 2 saslimšanas gadījumi!! Tātad šīs - pēc paša iniciatīvas veiktās - pārbaudes ir būtisks instruments infekcijas atklāšanā. Priekšlikums - vai nevajadzētu izveidot valsts finansētu, operatīvu laboratoriju cilvēkiem, kuriem ir simptomi, aizdomas utt., un kuri vēlas pārbaudīties? Pat, ja nav būts riska valstī vai kontaktā ar cilvēku, kurš inficējies. Un paredzēt šim finansējumu, jo, iespējams, augstā maksa par analīzēm attur vienu daļu potenciālo slimnieku no pārbaudes. Nacionālais veselības dienests ?Saprotu, pārbaudīties nāktu arī tie, kuriem tikai iesnas, bet, iespējams, tiktu savlaicīgi atklāta arī inficēšanās, un savlaicīgums te ir atslēgas vārds.",,8,1416821,12.03.2020,1120544
NA,<a>somu</a>,"Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules.","Lūk, mans stāsts par Covid-19. Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules. 5 dienas vēlāk sajutos slikti, bija mazliet paaugstināta temperatūra. <a>Somija</a> nav “riska” valsts, tāpēc “oficiāla” iemesla doties ārstiem rokās nav, tomēr “drošības dēļ” nolēmu pārbaudīties. Tas nozīmē, esmu gatava maksāt eur 80 Gulbja laboratorijai. Piezvanu G. laboratorijai, bet, pārsteigums - gribētāju pārbaudīties rinda esot tik gara, ka pārbaudi varot nodrošināt PĒC NEDĒĻAS!! Neziņa un zvans 113, izstāstu visu stāstu. Man saka, <a>Somija</a> neesot instrukcijās minēta, lai ejot uz Gulbja laboratoriju. Stāstu, tur pēc nedēļas varot. Otrā klausules galā seko mulsums, tad īsa konsultācija ar ārstu, pēc kā seko atziņa, ka simptomi neesot gluži tipiski un ieteikums konsultēties ar ģimenes ārstu. Ok. Gaidu, kad ģimenes ārsts atbrīvosies un būs gatavs uzklausīt. Kāpēc es to rakstu? Manuprāt, šī nepavisam NAV situācija, kad valsts dara visu iespējamo, lai mazināt slimības izplatīšanās riskus. Mums ir viena, privāta laboratorija, kas jau tagad netiek galā ar situāciju. Un 113, kur ņem tikai instrukcijās minētos. Ko pārējie? Pēc cilvēku pašu iniciatīvas veiktajās analīzēs tomēr atklāti 2 saslimšanas gadījumi!! Tātad šīs - pēc paša iniciatīvas veiktās - pārbaudes ir būtisks instruments infekcijas atklāšanā. Priekšlikums - vai nevajadzētu izveidot valsts finansētu, operatīvu laboratoriju cilvēkiem, kuriem ir simptomi, aizdomas utt., un kuri vēlas pārbaudīties? Pat, ja nav būts riska valstī vai kontaktā ar cilvēku, kurš inficējies. Un paredzēt šim finansējumu, jo, iespējams, augstā maksa par analīzēm attur vienu daļu potenciālo slimnieku no pārbaudes. Nacionālais veselības dienests ?Saprotu, pārbaudīties nāktu arī tie, kuriem tikai iesnas, bet, iespējams, tiktu savlaicīgi atklāta arī inficēšanās, un savlaicīgums te ir atslēgas vārds.",,9,1416821,12.03.2020,1120544
1,<a>lv</a>,"Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules.","Lūk, mans stāsts par Covid-19. Nesen biju <a>Somijā</a>, attiecīgi <a>somu</a> un <a>lv</a> lidostās, kur apgrozās cilvēki no visas pasaules. 5 dienas vēlāk sajutos slikti, bija mazliet paaugstināta temperatūra. <a>Somija</a> nav “riska” valsts, tāpēc “oficiāla” iemesla doties ārstiem rokās nav, tomēr “drošības dēļ” nolēmu pārbaudīties. Tas nozīmē, esmu gatava maksāt eur 80 Gulbja laboratorijai. Piezvanu G. laboratorijai, bet, pārsteigums - gribētāju pārbaudīties rinda esot tik gara, ka pārbaudi varot nodrošināt PĒC NEDĒĻAS!! Neziņa un zvans 113, izstāstu visu stāstu. Man saka, <a>Somija</a> neesot instrukcijās minēta, lai ejot uz Gulbja laboratoriju. Stāstu, tur pēc nedēļas varot. Otrā klausules galā seko mulsums, tad īsa konsultācija ar ārstu, pēc kā seko atziņa, ka simptomi neesot gluži tipiski un ieteikums konsultēties ar ģimenes ārstu. Ok. Gaidu, kad ģimenes ārsts atbrīvosies un būs gatavs uzklausīt. Kāpēc es to rakstu? Manuprāt, šī nepavisam NAV situācija, kad valsts dara visu iespējamo, lai mazināt slimības izplatīšanās riskus. Mums ir viena, privāta laboratorija, kas jau tagad netiek galā ar situāciju. Un 113, kur ņem tikai instrukcijās minētos. Ko pārējie? Pēc cilvēku pašu iniciatīvas veiktajās analīzēs tomēr atklāti 2 saslimšanas gadījumi!! Tātad šīs - pēc paša iniciatīvas veiktās - pārbaudes ir būtisks instruments infekcijas atklāšanā. Priekšlikums - vai nevajadzētu izveidot valsts finansētu, operatīvu laboratoriju cilvēkiem, kuriem ir simptomi, aizdomas utt., un kuri vēlas pārbaudīties? Pat, ja nav būts riska valstī vai kontaktā ar cilvēku, kurš inficējies. Un paredzēt šim finansējumu, jo, iespējams, augstā maksa par analīzēm attur vienu daļu potenciālo slimnieku no pārbaudes. Nacionālais veselības dienests ?Saprotu, pārbaudīties nāktu arī tie, kuriem tikai iesnas, bet, iespējams, tiktu savlaicīgi atklāta arī inficēšanās, un savlaicīgums te ir atslēgas vārds.",,10,1416821,12.03.2020,1417655
